Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
Heaven-sent gleams of victory (2013-07-19),apdp.cite.000041,Heaven-sent gleams of victory,Book Review,Newspaper,2013-07-19,The Times Literary Supplement,p. 24,"http://link.galegroup.com/apps/doc/EX1200570082/GDCS?u=
linc74325&sid=GDCS&xid=c8aa3ad5",GALE|EX1200570082,2019-07-01,"""The Times Literary Supplement Historical Archive,""","The book review by Armand D'Angour regards a collection of essays about classical victory odes. In one essay by Rosalind Thomas, ""Thomas draws comparisons with African praise-poetry to suggest that 'performance literature occurring in contexts virtually without writing might have greater need for some kind of density, in order to make the performance more memorable.' She demonstrates how the obscure allusivity of oriki, oral praise-poetry from Nigeria, renders it more striking and 'quotable' than if its style and expression were more quotidian.""",
The World of Books (1930-04-20),apdp.cite.000042,The World of Books,Book Review,Newspaper,1930-04-20,The Sunday Times,p. 6,http://link.galegroup.com/apps/doc/FP1800980248/GDCS?u=linc74325&sid=GDCS&xid=08c25898,GALE|FP1800980248,2019-06-27,"""The Sunday Times Historical Archive,""","Desmond MacCarthy praises and reviews Roy Campbell's newest volume of poems, ""Adamastor."" MacCarthy writes that: ""It is seldom that the critic has the privilege of assisting at the birth of a book destined to a long life, and he may well be embarrassed. I have no doubt at all that this one which has fallen into my hands is destined to be famous."" ",© Times Newspapers Limited.
South African Bard (1957-06-28),apdp.cite.000043,South African Bard,Book Review,Newspaper,1957-06-28,The Times Literary Supplement,p. 398,http://link.galegroup.com/apps/doc/EX1200311563/GDCS?u=linc74325&sid=GDCS&xid=fddbdf01,GALE|EX1200311563,2019-06-27,"""The Times Literary Supplement Historical Archive,""","The critic reviews Francis Carey Slater's new poetry collection. Of Slater's last collection, the critic writes ""The history of his literary achievements, which grew from apparently unpromising circumstances, deepened the interest of the book; the honesty of the writing was evident in the varied quality of the poems. Some of them were old fashioned and derivative...but there were thers of special power."" For this new collection, the critic suggests that Slater's ""poetic character is complex; the romantic, the stoic and the satiric unite in it.""",
Alien Shores (1972-11-10),apdp.cite.000045,Alien Shores,Book Review,Newspaper,1972-11-10,The Times Literary Supplement,p. 1375,"http://link.galegroup.com/apps/doc/EX1200385328/
GDCS?u=linc74325&sid=GDCS&xid=ad4eb0d2",GALE|EX1200385328,2019-06-27,"""The Times Literary Supplement Historical Archive,""","The critic reviews Sheila Fugard's first book, The Castaways. Though this book is a work of prose, the critic writes that ""Mrs. Fugard has established herself as a leading South African poet"" and that her book is ""a highly original work that is unlike anything else to come from South Africa."" ",
South African Poet (1947-10-19),apdp.cite.000048,South African Poet,Book Review,Newspaper,1947-10-19,The Sunday Times,p. 3,https://link.gale.com/apps/doc/FP1801509844/GDCS?u=linc74325&sid=GDCS&xid=62fbe19a,GALE|FP1801509844,2016-12-15,"""The Sunday Times Historical Archive,""","""This volume gathers examples from the best work of one of the foremost South African poets of today. The quality that strikes one particularly in Mr. Slater's verse is its ability to achieve a quiet subtlety of rhythm: it flows with a varied cadence, without monotony, carefully preventing its metre from stamping, or its rhyme from rinigng, to the disturbance of its subdued harmonies. Its content is chiefly remarkable for its sensitive feeling for the African landscape. Mr. R. C. K. Ensor's brief biographical note of the poet which introduces the book is most useful.""",© Times Newspapers Limited.
Poetry from Africa (1963-08-02),apdp.cite.000049,Poetry from Africa,Book Review,Newspaper,1963-08-02,The Times Literary Supplement,p. 594,https://link.gale.com/apps/doc/EX1200329552/GDCS?u=linc74325&sid=GDCS&xid=4b2d2f38,GALE|EX1200329552,2016-12-15,"""The Times Literary Supplement Historical Archive,""","Gerald Moore first critically evaluates the poems included in the collection edited by Langston Hughes; he suggests that while ""the accomplished young Nigerian poets Wole Soyinka, J. P. Clark, Gabriel Okara, and Christopher Okigbo suffer from being placed immediately after no fewer than 22 poems from Ghana and Liberia, of which only four by Kwesi Brew and one (translated from Twi) by A. A. Opoku rise above the level of mediocrity."" About another poem by Richard Rive, he suggests that ""any reader opening the book at this point might be forgiven for flinging it through the window."" On the second review, the biography of L S. Senghor, Moore writes that Armand Guibert puts together this ""short biogrpahical introduction, a selection of poetry interlarded with exegesis and footnotes, a couple of prose extracts, a dialogue with the poet, a selection of review notices and a bibliography."" ",
Voices from South Africa (1949-07-01),apdp.cite.000050,Voices from South Africa,Book Review,Newspaper,1949-07-01,The Times Literary Supplement,p. 430,https://link.gale.com/apps/doc/EX1200081494/GDCS?u=linc74325&sid=GDCS&xid=6894c32d,GALE|EX1200081494,2016-12-15,"""The Times Literary Supplement Historical Archive,""","Laurence Whistler writes a generally praising critique of South African Poetry, complimenting Guy Butler and R. N. Currey, but suggesting ""had the compilers omitted four-fifths of their contributors and increased the contributions of the remainder they could have produced an impressive anthology."" At the end of his critique, Whistler questions if there is ""such a thing"" as South African poetry. He points out that the ""liveliest creative minds"" desert South Africa for England, calling them ""poetic deserters.""",
A South African Poet (1902-06-20),apdp.cite.000052,A South African Poet,Book Review,Newspaper,1902-06-20,The Times Literary Supplement,p. 178,https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=TLSH&xid=bc99d4bc,GALE|EX1200000381,,"""The Times Literary Supplement Historical Archive,""","""South Africa, where a new era is now beginning, has not produced much poetry, and its chief poet has been forgotten. This little volume should save Thomas Pringle, if only for a little while longer, from the oblivion which has been fast closing over him. For he was a genuine poet in his way... South Africa, it seemed, was a to have a University before she had a literature; but somehow the muse always gets ahead of learning and pegs out the first claim; and the patrons of literature arrive to find her seated, patient, and smiling in her poverty. This little book, which can be slipped into the waistcoat pocket, contains (we daresay) the beginnings of South African poetry, and professors in Cape Town will some day start their lectures with Thomas Pringle.""",
The editor lied (1991-01-18),apdp.cite.000053,The editor lied,Book Review,Newspaper,1991-01-18,The Times Literary Supplement,p. 18,https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=TLSH&xid=bc99d4bc,GALE|EX1200000381,,"""The Times Literary Supplement Historical Archive,""","John Haynes notes that this collection of African Poetry in English emphasizes poets born after 1945 and has a distinguishing factor of featuring ""poetry in the shadow of police states."" ",
Tradition Gone Stale- (1962-09-21),apdp.cite.000054,Tradition Gone Stale-,Book Review,Newspaper,1962-09-21,The Times Literary Supplement,p. 704,https://link.gale.com/apps/doc/EX1200000381/TLSH?u=linc74325&sid=TLSH&xid=bc99d4bc,GALE|EX1200000381,,"""The Times Literary Supplement Historical Archive,""","Ulli Beier critiques the collection of Swahili poetry. He suggests that we should be grateful for the collection, in that ""very little is known about African poetry anywhere on our continent,"" but he also argues that this collection suffers from translation and the fact that the Swahili poetry is meant to be sung or recited to music. He concludes that the poetry in the volume is worth more to ""students of East African ethnolography and above all to Islamic scholars,"" but not to literary critics.",
Songs from the grasslands (1975-02-21),apdp.cite.000055,Songs from the grasslands,Book Review,Newspaper,1975-02-21,The Times Literary Supplement,p. 204,https://link.gale.com/apps/doc/EX1200403999/GDCS?u=linc74325&sid=GDCS&xid=0f8f4078,GALE|EX1200403999,,"""The Times Literary Supplement Historical Archive,""","Gerald Moore praises Okot p'Bitek's collection of Acoli traditional songs. He suggests that the songs and poems collected here have merit on their own accord, rather than to be used as only ethnographic material ""to be eviscerated."" Of Okot p'Bitek himself, Moore writes, ""Those familiar with his own poetry, especially The Song of Lawino, will recognize here the indigenous poetic tradition in which that fine work is embedded. The bitters of Lawino's sense of betrayal is not a personal but a cultural bitterness."" ",
Revving up (1974-06-21),apdp.cite.000056,Revving up,Book Review,Newspaper,1974-06-21,The Times Literary Supplement,p. 667,https://link.gale.com/apps/doc/EX1200398469/GDCS?u=linc74325&sid=GDCS&xid=7905ba75,GALE|EX1200398469,,"""The Times Literary Supplement Historical Archive,""","Terry Eagleton writes on Christopher Hope, a white South African poet. Of his poetry, Eagleton says, ""Mr. Hope's poems do not easily yield sympathy to their subjects... It seems rather the necessary stringency of a poet who needs to feel his way back into an increasingly alien world by a process of precise observation, clarifying and defining its textures so that perception itself becomes a kind of moral act.""",
Black Orpheus (1966-07-28),apdp.cite.000057,Black Orpheus,Book Review,Newspaper,1966-07-28,The Times Literary Supplement,p. 657,https://link.gale.com/apps/doc/EX1200342485/GDCS?u=linc74325&sid=GDCS&xid=a2034d2f,GALE|EX1200342485,,"""The Times Literary Supplement Historical Archive,""","Thorpe reviews Ulli Beier's anthology of African Poetry, which includes fifty-four poems translated from twenty-six languages. The collection purports to be for students in Africa to study English poetry, but Thorpe is critical of the anthology's lack of inclusion of poems in the African version, as well. He writes, ""Offering them only an English text half concedes - with unintentional irony - the defeat of the languages many are being educated away from.""",
Mr F. C. Slater (1958-09-04),apdp.cite.000058,Mr F. C. Slater,Obituary,Newspaper,1958-09-04,The Times,p. 12,http://link.galegroup.com/apps/doc/CS203512612/GDCS?u=linc74325&sid=GDCS&xid=27ccd2b7,GALE|CS203512612,2019-06-27,The Times Digital Archive,"Mr. Francis Carey Slater, the South African poet, died on Tuesday at the age of 84, our Cape Town Correspondent reports. He was born in the Cape and educated privately at Lovedale. He joined the staff of the Standard Bank in 1899 and retired from the management of its Grahamstown branch in 1930. His poetry began to appear in 1905 and a selected edition with biographical introduction by Sir Robert Ensor was published by the Oxford University Press in 1947. Some of the poems in the book were obviously derivative, but others had force and originality from their blend of romantic, stoic, and satiric strains. He was deeply moved by the great themes of nature, character, and race in his native country. His Collected Poems was published last year. In 1925 he made an anthology, The Centenary Book of South African Verse, and his verse had appeared in The Times Literary Supplement.",© Times Newspapers Limited.
